Gene	Ensembl	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
RCC1	ENSG00000180198	1990.1650546957	-1.753423136	0.8142758015	-2.1533528724	0.0312909564	0.2947858022
RP11-159F24.2	ENSG00000188850	1.6388382675	4.3581710058	2.0252351258	2.1519333485	0.0314026042	0.2947858022
DSCR8	ENSG00000198054	57.6746139761	-1.9119773719	0.888426045	-2.152095138	0.031389862	0.2947858022
SPRN	ENSG00000203772	23.9769571738	-3.1430477648	1.4596989064	-2.1532164962	0.0313016678	0.2947858022
IMPDH1P10	ENSG00000232133	22.6109980365	-2.9600156618	1.3731994348	-2.1555613749	0.0311179313	0.2947858022
FABP5P1	ENSG00000236972	18.946181033	-1.3529848318	0.6271640077	-2.1573062472	0.0309818106	0.2947858022
FGF14-IT1	ENSG00000243319	2.8549404021	4.358080066	2.0252365448	2.1518869374	0.0314062603	0.2947858022
RP11-136F16.1	ENSG00000258225	3.6053384991	1.87926319	0.8723506246	2.1542521287	0.0312204048	0.2947858022
HMGB1P6	ENSG00000259781	154.2322953909	1.0348231395	0.4806095481	2.1531472767	0.0313071057	0.2947858022
RP11-550A18.1	ENSG00000270195	3.7639545943	-4.1370044789	1.9191918453	-2.1555971536	0.031115135	0.2947858022
DUX4L5	ENSG00000280798	19.4470649099	1.494684167	0.6937738964	2.1544254904	0.0312068193	0.2947858022
LINC00538	ENSG00000281657	30.6569785087	2.2167535475	1.0278255318	2.1567410799	0.0310258443	0.2947858022
LINC01203	ENSG00000226985	1.7722031893	4.164297135	1.9354683011	2.1515708279	0.0314311718	0.2947942602
RP11-923I11.4	ENSG00000260473	58.6666543663	1.4947106987	0.6947805665	2.1513421226	0.0314492058	0.2947942602
TGFBR1	ENSG00000106799	167.7736807656	2.7950396509	1.3006080521	2.1490253319	0.0316323919	0.2961155087
RP11-66D17.3	ENSG00000237588	6.7263105336	2.1286393282	0.9904280562	2.1492114596	0.0316176413	0.2961155087
PFN2	ENSG00000070087	140.0368665217	-2.1478755622	1.0003273289	-2.1471727305	0.0317795328	0.296766105
LZTS3	ENSG00000088899	3.4583344122	4.0397416482	1.8817338211	2.1468188555	0.0318077056	0.296766105
DLGAP3	ENSG00000116544	11.3001379994	3.0663480315	1.4278141252	2.1475820819	0.0317469701	0.296766105
RPS2P46	ENSG00000189343	125.6762732266	-0.911833746	0.424536372	-2.1478342166	0.0317269278	0.296766105
C4A	ENSG00000244731	2.2295214127	-4.0133529288	1.8692776472	-2.1470073934	0.031792693	0.296766105
ATP1A3	ENSG00000105409	10.8230213408	2.4034024935	1.1197333998	2.1464060052	0.0318406006	0.2968754938
LINC00479	ENSG00000236384	50.1032349249	3.0286681157	1.4114215767	2.1458281252	0.0318866939	0.2971077129
GLCCI1	ENSG00000106415	32.9736036135	2.9289163522	1.3653550218	2.1451683302	0.0319393908	0.2972037668
RP11-667F14.1	ENSG00000279085	1.8939107107	2.5392040103	1.183666561	2.1452021151	0.0319366906	0.2972037668
LIPE	ENSG00000079435	1.4655025403	4.3442986091	2.0254530229	2.1448528107	0.0319646172	0.2972412648
PDZD7	ENSG00000186862	3.6288058923	3.1261390229	1.4581372912	2.1439263927	0.0320387851	0.2975363465
RP11-624M8.1	ENSG00000237742	2.5134413396	-3.6798926412	1.7162680121	-2.1441247028	0.0320228962	0.2975363465
ALDOC	ENSG00000109107	43.8980886927	3.0329573619	1.4153725073	2.1428686415	0.0321236476	0.297896265
GPR137	ENSG00000173264	52.3844875661	2.6955826146	1.2580605923	2.1426492739	0.0321412714	0.297896265
CRLF3	ENSG00000176390	93.7721736833	-2.3127272986	1.0792948228	-2.1428132979	0.0321280931	0.297896265
CNTLN	ENSG00000044459	54.8925718748	-3.0220577521	1.4111268831	-2.1415917933	0.0322263447	0.2984874715
CAMK2A	ENSG00000070808	7.046656698	3.8297312342	1.788890717	2.1408413593	0.0322868334	0.2986532088
MBD3L2	ENSG00000230522	2.1266839267	-3.7765678852	1.7639852641	-2.1409293842	0.0322797331	0.2986532088
ABCA7	ENSG00000064687	48.8120159489	2.9791406302	1.3922093395	2.1398654252	0.032365644	0.2989877639
PFDN5	ENSG00000123349	1200.0925950444	1.1911444147	0.5566150781	2.1399787062	0.0323564876	0.2989877639
MAP4K1	ENSG00000104814	27.39123914	3.0091726742	1.4072872285	2.138278962	0.032494109	0.2993310951
RDH13	ENSG00000160439	220.5759778334	-1.8395419165	0.8603376808	-2.1381626743	0.0325035426	0.2993310951
USP54	ENSG00000166348	1.5770697506	-3.9043687509	1.8256375355	-2.1386330391	0.0324653995	0.2993310951
CLTB	ENSG00000175416	1155.7833251405	1.5200272217	0.7108829183	2.1382244286	0.0324985326	0.2993310951
PDPK2P	ENSG00000205918	8.1022059884	3.2038343175	1.4984571028	2.1380887791	0.0325095385	0.2993310951
LHX2	ENSG00000106689	2.1419621365	4.218209458	1.9732769068	2.1376672698	0.0325437577	0.2994495504
MTERF4	ENSG00000122085	220.8522517602	-2.1242337158	0.9946265499	-2.135709846	0.0327030714	0.2998707272
MXRA8	ENSG00000162576	442.7846763853	2.5125838321	1.1765510534	2.1355501954	0.0327160946	0.2998707272
NOXRED1	ENSG00000165555	1.5261982286	4.3250101688	2.0257590669	2.1350071879	0.032760423	0.2998707272
VCX3A	ENSG00000169059	111.6468829787	2.4482000904	1.1466952662	2.1350049682	0.0327606043	0.2998707272
MRPS17	ENSG00000239789	37.8587634432	-1.898630347	0.8889744264	-2.1357536174	0.0326995016	0.2998707272
RP3-395M20.12	ENSG00000272447	12.2554361909	-2.6809624804	1.2556692054	-2.1350865888	0.0327539379	0.2998707272
CYP3A7-CYP3A51P	ENSG00000282300	6.7294949304	4.1279470914	1.9319842965	2.1366359441	0.0326276137	0.2998707272
snoMe28S-Am2634	ENSG00000283674	50.7234337064	2.1841644137	1.0229352382	2.135193248	0.0327452282	0.2998707272
SETD3	ENSG00000183576	616.7030976446	-1.7373431521	0.8142825881	-2.1335875007	0.032876562	0.3007358315
TBC1D15	ENSG00000121749	233.0902756633	-1.4173446381	0.6644477494	-2.1331167717	0.0329151483	0.3008925191
WBSCR27	ENSG00000165171	6.7940197505	-3.284691193	1.5401512066	-2.1327069569	0.0329487729	0.3010036755
SLC7A2	ENSG00000003989	1587.119529701	-1.9213987136	0.9011127198	-2.1322512394	0.0329861982	0.3011493864
CD70	ENSG00000125726	3.4923188713	4.2184390575	1.979680526	2.1308685932	0.0330999694	0.3012591688
B4GALT3	ENSG00000158850	895.696787568	-2.3456577397	1.1004557229	-2.1315330467	0.0330452529	0.3012591688
ZP3	ENSG00000188372	28.9818722121	2.7316247976	1.2815300509	2.1315339392	0.0330451795	0.3012591688
LINC00240	ENSG00000224843	1.5088680255	4.3167679853	2.025890933	2.1307997952	0.0331056392	0.3012591688
NEAT1	ENSG00000245532	8324.3745283121	1.8845816667	0.8843383307	2.1310640975	0.033083862	0.3012591688
WNT7B	ENSG00000188064	56.0930944575	-2.4725963324	1.1608522157	-2.12998373	0.0331729566	0.3014804736
MS4A4E	ENSG00000214787	89.7156880819	1.4047096846	0.6594883304	2.1299993037	0.0331716709	0.3014804736
CRYM	ENSG00000103316	1.4030060181	4.3118616228	2.0259697421	2.1282951731	0.0333126181	0.3023578273
MRPL4	ENSG00000105364	936.5752258469	-1.3037919211	0.6125673305	-2.1284059013	0.0333034443	0.3023578273
LINC01176	ENSG00000281398	65.0945162849	-2.0558568572	0.9665308885	-2.1270472384	0.0334161584	0.3031014165
TRAF3IP2	ENSG00000056972	16.2930605807	-2.9097711929	1.3682430912	-2.1266478242	0.0334493557	0.3031453717
DUSP5	ENSG00000138166	782.6152556623	2.1628210506	1.0171795731	2.1262922573	0.0334789323	0.3031453717
RNF39	ENSG00000204618	22.8585823056	-3.6714816123	1.7267735862	-2.1262090419	0.0334858576	0.3031453717
GARS	ENSG00000106105	1215.5740356875	-1.4917742052	0.7017036986	-2.1259317975	0.0335089388	0.3031586122
CASR	ENSG00000036828	24.9127787002	1.9510943285	0.9184343213	2.1243700103	0.0336392157	0.3039450525
RPS2	ENSG00000140988	9097.7352817866	-0.8736231582	0.4112380682	-2.1243732662	0.0336389436	0.3039450525
PHGDH	ENSG00000092621	101.4852555348	-3.0206357102	1.4233025401	-2.1222724088	0.0338148691	0.3045311477
MCF2L	ENSG00000126217	4.4715375617	-3.7860710116	1.7833724118	-2.1229839526	0.0337551966	0.3045311477
DMGDH	ENSG00000132837	2.1131683536	3.5002383603	1.6492398829	2.1223342926	0.0338096757	0.3045311477
ZNF382	ENSG00000161298	3.49723051	2.6742372989	1.2601651367	2.1221324262	0.0338266191	0.3045311477
HMGN4	ENSG00000182952	239.6078632815	-2.7469906488	1.2943290172	-2.1223279494	0.033810208	0.3045311477
C9orf66	ENSG00000183784	2.4318986195	-3.7613043967	1.7727105935	-2.1217814179	0.0338560978	0.3045311477
QTRT1	ENSG00000213339	552.2572007393	-1.7466094128	0.8231158661	-2.1219484217	0.0338420696	0.3045311477
RGS17	ENSG00000091844	2.4226979573	3.7909938589	1.7871935202	2.1211994202	0.033905024	0.3045804947
TTC21B	ENSG00000123607	42.1250695096	2.7684853676	1.3051092463	2.1212671471	0.0338993274	0.3045804947
RP11-258F22.1	ENSG00000226578	18.4242136073	2.3707323649	1.1186000448	2.1193744591	0.0340588335	0.3057663397
HBS1L	ENSG00000112339	540.1483390876	-2.0951114303	0.9890676862	-2.1182690119	0.0341522915	0.3058013238
MFHAS1	ENSG00000147324	110.5651254807	-2.2136514561	1.0450681377	-2.1181886388	0.034159095	0.3058013238
TBCEL	ENSG00000154114	23.205063953	-3.2816426884	1.5488770908	-2.1187237567	0.0341138194	0.3058013238
PIGR	ENSG00000162896	2.7134665793	-1.8867046509	0.890779	-2.1180389871	0.034171766	0.3058013238
RP11-775C24.5	ENSG00000277778	19.2824571237	1.839854815	0.8685323872	2.1183491163	0.0341455118	0.3058013238
FAM173A	ENSG00000103254	188.8056653223	-2.1842820014	1.0314154006	-2.1177519748	0.0341960786	0.3058237306
DBP	ENSG00000105516	44.134303092	2.9321196219	1.3849908984	2.117067791	0.0342540948	0.3061473367
FRRS1	ENSG00000156869	34.6722342241	2.6312058504	1.2434438483	2.1160632658	0.0343394272	0.306304147
RP11-564D11.3	ENSG00000255624	10.2808717837	-3.7619300837	1.7775312046	-2.1163792084	0.0343125689	0.306304147
CTD-3148I10.9	ENSG00000269466	12.0865187122	-3.6497584003	1.72480533	-2.1160407709	0.0343413402	0.306304147
CTD-3032J10.4	ENSG00000269834	3.9253924848	3.4338485675	1.6229298524	2.1158330179	0.0343590119	0.306304147
TMEM248	ENSG00000106609	806.6709257002	1.7753584945	0.8397695474	2.1141020177	0.0345065549	0.3064505506
FGF8	ENSG00000107831	2.977073016	4.0800781233	1.9295356904	2.1145388207	0.0344692727	0.3064505506
MYO1G	ENSG00000136286	3.1116869944	-3.9884004362	1.8865309735	-2.114145218	0.0345028661	0.3064505506
RUSC2	ENSG00000198853	10.2047059765	4.0778132087	1.92854172	2.1144542358	0.0344764896	0.3064505506
RP11-356J5.13	ENSG00000268471	6.190172153	4.0795461196	1.9286518581	2.1152319961	0.0344101792	0.3064505506
RP11-603B24.6	ENSG00000271503	20.5698753194	1.2909361711	0.6104184137	2.1148381864	0.034443741	0.3064505506
FHIT	ENSG00000189283	36.0712116073	-3.0741433277	1.4549658637	-2.1128628543	0.034612508	0.3070172341
RP11-432M8.9	ENSG00000249156	26.9099252313	-4.2431018516	2.0082422263	-2.112843658	0.0346141515	0.3070172341
HNRNPA1P40	ENSG00000212961	18.7028342343	1.3394406082	0.6345162143	2.1109635624	0.0347754439	0.3082528761
MSMB	ENSG00000263639	2.0505628324	-3.9454663664	1.8704181794	-2.1094033462	0.0349097809	0.309248173
C6orf203	ENSG00000130349	103.5998864203	-2.3220542721	1.1010185419	-2.1090056014	0.0349440981	0.3093567476
CRMP1	ENSG00000072832	1.4339834841	4.2726635186	2.0266077093	2.1082834625	0.0350064776	0.3095181808
ALX1	ENSG00000180318	1.4339834841	4.2726635186	2.0266077093	2.1082834625	0.0350064776	0.3095181808
RP11-718I15.1	ENSG00000267742	4.2905361303	-2.0089693974	0.9531549561	-2.1077049272	0.0350565209	0.3097653383
HEBP1	ENSG00000013583	57.1185248783	-2.7475149985	1.3040800508	-2.1068606922	0.0351296567	0.3102161061
LYN	ENSG00000254087	866.5946570336	-1.8425892056	0.8747066106	-2.1065225565	0.0351589859	0.3102797097
ARFIP1	ENSG00000164144	478.3134092188	-1.9512502387	0.9266891654	-2.1056146025	0.0352378432	0.3103896199
LINC00355	ENSG00000227674	1.711170673	2.4376959675	1.1574449018	2.1061010885	0.0351955723	0.3103896199
UGDH-AS1	ENSG00000249348	70.198012298	1.5015135084	0.7130349996	2.1058061795	0.0352211918	0.3103896199
TAF11	ENSG00000064995	313.8585192849	1.5646695066	0.7431946835	2.1053292513	0.0352626576	0.3104132122
CYP2D6	ENSG00000100197	2.9259277628	3.9790537254	1.8914775701	2.103674814	0.0354068229	0.3112510525
MAGEA4	ENSG00000147381	20.9082320015	3.4900544349	1.6591865208	2.103473233	0.0354244227	0.3112510525
MIR6789	ENSG00000284128	5.1941547593	-3.9693851961	1.8866534208	-2.1039291861	0.0353846246	0.3112510525
MFGE8	ENSG00000140545	11.422411092	3.0199198031	1.4365508311	2.102201842	0.0355355985	0.3118371078
AC005562.1	ENSG00000214719	5.6864081576	3.532052716	1.6800807099	2.1023113325	0.0355260125	0.3118371078
CNDP2	ENSG00000133313	668.1097208628	-1.7190808044	0.8180749994	-2.1013731083	0.0356082267	0.3122790259
CITF22-92A6.1	ENSG00000273143	1.3828538113	4.2568197695	2.0268697992	2.1001939894	0.0357117799	0.312991431
CTC-459F4.1	ENSG00000261770	14.1861842994	1.9030707183	0.9063189682	2.0997803038	0.0357481716	0.3131146852
ERF	ENSG00000105722	180.0283046784	1.2942296004	0.6169277182	2.0978626219	0.0359172827	0.3137656983
PEMT	ENSG00000133027	202.2884383654	-2.0451738985	0.9749321707	-2.0977601929	0.0359263346	0.3137656983
TTC7B	ENSG00000165914	136.0171104332	-2.1949242224	1.0463633486	-2.0976692516	0.0359343729	0.3137656983
B3GALT6	ENSG00000176022	136.2789685896	-2.6298405376	1.2532059771	-2.0984902607	0.0358618594	0.3137656983
ZNF880	ENSG00000221923	61.4769103921	-2.3045692845	1.0983973218	-2.098119905	0.0358945546	0.3137656983
RAB34	ENSG00000109113	16.4899204869	3.3503874022	1.5974096597	2.0973877188	0.0359592674	0.3137876828
ADTRP	ENSG00000111863	169.7549561564	-2.1884634045	1.0437993012	-2.0966323718	0.0360261313	0.3141756467
GOLGA8K	ENSG00000249931	2.6571697637	4.2492326712	2.0269961792	2.0963200201	0.036053812	0.3142216315
LINC01311	ENSG00000260924	2.9789629244	-3.5081881154	1.674046034	-2.0956341965	0.0361146533	0.3145563869
U6	ENSG00000283247	1.5612418211	2.6753714873	1.2781219194	2.0932052309	0.036330838	0.3162429183
SLPI	ENSG00000124107	3.2863142284	-4.0243995669	1.9238434503	-2.091853974	0.0364515804	0.3170970918
HSP90AB1	ENSG00000096384	12683.200783503	-1.0557784372	0.5047931149	-2.0915072057	0.0364826212	0.3171703637
OAT	ENSG00000065154	1266.4230308913	-1.9098012645	0.9137675522	-2.090029636	0.0366151376	0.3179282195
CLCN4	ENSG00000073464	6.5445370718	4.210141888	2.0142895787	2.0901373529	0.0366054631	0.3179282195
RPL38	ENSG00000172809	2433.1773870321	-0.9282717367	0.444384372	-2.0888937487	0.0367172887	0.3184958992
L1TD1	ENSG00000240563	1383.2348791861	-1.5516704241	0.7428533896	-2.088797663	0.0367259409	0.3184958992
ANKRD18CP	ENSG00000159712	1.4944301914	3.9430300459	1.8886549352	2.0877450785	0.0368208362	0.3190984664
TMEM139	ENSG00000178826	5.5518708916	-4.1064794034	1.9671546074	-2.0875224489	0.036840934	0.3190984664
TRMT10A	ENSG00000145331	131.5246428152	-2.1674245322	1.0387543093	-2.0865612905	0.0369278095	0.3196535014
DDX6	ENSG00000110367	859.5521797568	-1.3559346663	0.6499243323	-2.0862962024	0.0369518005	0.3196638482
DNAL1	ENSG00000119661	65.1352416743	1.5481492052	0.7427959622	2.0842186603	0.0371402821	0.3203492213
LGALS3	ENSG00000131981	19.5472494992	-3.0709873152	1.4731444695	-2.0846477577	0.037101286	0.3203492213
UNC80	ENSG00000144406	2.2176553055	-2.0401274481	0.9789888454	-2.0839128633	0.0371680941	0.3203492213
C11orf72	ENSG00000184224	146.872450149	1.4203091726	0.681293992	2.0847228793	0.0370944626	0.3203492213
SNORD63	ENSG00000206989	4.5493065603	-3.1612170514	1.5167945572	-2.0841431928	0.0371471442	0.3203492213
RP11-292E2.2	ENSG00000241912	3.5679698265	2.659711914	1.2761809765	2.0841181329	0.037149423	0.3203492213
MYL12A	ENSG00000101608	1326.2936881329	-1.5495326105	0.7437532221	-2.0833961648	0.0372151276	0.3203587889
NDRG4	ENSG00000103034	1.9373387716	-3.8982982146	1.8713496634	-2.0831479497	0.0372377398	0.3203587889
ID2	ENSG00000115738	282.708738955	-2.3609875091	1.1331390614	-2.0835814329	0.0371982574	0.3203587889
CNBD2	ENSG00000149646	6.4853410462	2.2976915324	1.1035636555	2.0820652446	0.0373365106	0.3208148825
POFUT2	ENSG00000186866	47.2414018773	2.5487706369	1.2240864737	2.0821818488	0.0373258626	0.3208148825
CEP112	ENSG00000154240	2.6676647206	-2.9998910553	1.4416296822	-2.0809026703	0.0374428157	0.3215312948
CCT5	ENSG00000150753	2832.4663908362	-1.3760631014	0.6617899824	-2.0793048219	0.0375893422	0.322592011
ADAP1	ENSG00000105963	1.6723768232	4.0349664939	1.9422893397	2.0774281212	0.037762063	0.3226919006
STIM2	ENSG00000109689	159.2887395782	2.370368398	1.14070879	2.0779785504	0.0377113348	0.3226919006
FEM1C	ENSG00000145780	14.3633600225	-3.4976091314	1.6835884618	-2.077472738	0.0377579489	0.3226919006
NUBPL	ENSG00000151413	147.8940377833	-1.6742948153	0.8057691393	-2.0778840163	0.037720043	0.3226919006
PMVK	ENSG00000163344	255.8442194725	-1.896898734	0.9128517248	-2.0779921673	0.0377100806	0.3226919006
RPRM	ENSG00000177519	5.4173539849	-4.0883846305	1.9677064252	-2.07774116	0.0377332058	0.3226919006
PCDHGA5	ENSG00000253485	3.0948725979	2.0185407482	0.9714254531	2.0779162639	0.0377170723	0.3226919006
FAM217B	ENSG00000196227	62.02258252	1.8181855597	0.8756674388	2.0763425465	0.0378622809	0.3233512578
CTA-714B7.7	ENSG00000273066	16.2266666785	-2.5093030874	1.2097506715	-2.0742316136	0.0380578055	0.3248232543
RNF168	ENSG00000163961	166.2335850445	-2.1209317364	1.0227481125	-2.0737576636	0.0381018229	0.3250011326
CPD	ENSG00000108582	162.2182344528	2.4827407361	1.1980233216	2.0723642782	0.0382314821	0.3253614191
CARHSP1	ENSG00000153048	283.0911379891	-1.4011819775	0.6761668324	-2.0722429885	0.0382427862	0.3253614191
GPC2	ENSG00000213420	9.1457499051	-3.7195107655	1.7950807902	-2.0720575842	0.0382600713	0.3253614191
PAGE2B	ENSG00000238269	161.9091803103	2.4938719677	1.2031970305	2.0727045567	0.0381997834	0.3253614191
CTC-461H2.3	ENSG00000267724	3.1354244166	-3.989521834	1.9247510094	-2.0727469758	0.0381958335	0.3253614191
HHEX	ENSG00000152804	26.6512216643	3.5735587521	1.7249488473	2.0716896954	0.0382943889	0.3253831948
MYO18A	ENSG00000196535	8.7822318718	3.9175562528	1.89113896	2.07153273	0.0383090391	0.3253831948
ANKS6	ENSG00000165138	92.0237640505	2.5604712795	1.2364050718	2.0709000132	0.0383681409	0.3256586611
TDGF1	ENSG00000241186	144.3908357708	-2.4380263644	1.1773989124	-2.0706884801	0.0383879175	0.3256586611
GPS2	ENSG00000132522	23.9758605696	2.06728253	0.99929909	2.0687325253	0.0385711933	0.3269879422
ZNF321P	ENSG00000213801	3.8096483991	-3.2008652533	1.5474188333	-2.0685189972	0.0385912461	0.3269879422
YWHAZ	ENSG00000164924	4372.9420459933	-1.327569199	0.6419865664	-2.0679080659	0.0386486688	0.3272767408
RAB39A	ENSG00000179331	5.1959410261	-3.2651250617	1.5791553986	-2.0676401224	0.0386738763	0.327292557
SIDT2	ENSG00000149577	101.0399801701	2.6934396035	1.3031775007	2.0668248201	0.0387506638	0.3277446073
RP11-932O9.10	ENSG00000269973	2.2989601421	-3.1917701209	1.5446729502	-2.06630803	0.0387994037	0.3277614686
RP11-22N19.2	ENSG00000273319	6.5494071428	4.1598842132	2.0130288461	2.0664801805	0.0387831619	0.3277614686
ADCY9	ENSG00000162104	18.1261528188	-3.2753909161	1.5856488739	-2.0656470483	0.0388618185	0.3280910785
BAX	ENSG00000087088	759.931566602	-1.5941713424	0.7719855682	-2.0650273891	0.0389204089	0.3281905552
SSRP1	ENSG00000149136	486.0235255243	-1.3252612696	0.6417137869	-2.0651905829	0.0389049712	0.3281905552
LRP2BP	ENSG00000109771	5.0126492659	3.8837953859	1.8811836019	2.0645488202	0.0389657101	0.3283511842
HACD1	ENSG00000165996	120.8411831569	2.2757495321	1.1024147233	2.0643315842	0.0389862884	0.3283511842
ADSS	ENSG00000035687	104.0479133788	-2.1809774636	1.0569438005	-2.0634753357	0.0390674888	0.3286721879
S100A10	ENSG00000197747	7495.388661377	0.9101810608	0.441099855	2.0634354115	0.0390712784	0.3286721879
CDH2	ENSG00000170558	16.5175239209	-3.5997901764	1.7451886036	-2.0626940658	0.0391417041	0.329067216
GMPR2	ENSG00000100938	253.7794481855	-2.0790615012	1.0082922023	-2.0619632846	0.0392112316	0.3294542247
CIZ1	ENSG00000148337	153.6448302746	-1.7627169323	0.8553338558	-2.0608525201	0.0393171122	0.3301102327
RP3-522D1.1	ENSG00000224167	7.9294116442	3.0427538495	1.4765986618	2.0606505533	0.0393363901	0.3301102327
GBE1	ENSG00000114480	51.1446005813	-3.1961650211	1.5512860083	-2.0603325267	0.0393667624	0.3301675297
RBP1	ENSG00000114115	7.3706215105	-3.4487017356	1.6744708761	-2.0595770191	0.0394389951	0.3302769001
LGALS4	ENSG00000171747	3.7311148145	3.2513630262	1.5785373934	2.0597313942	0.0394242264	0.3302769001
ASAH2	ENSG00000188611	4.3490180156	-3.3214859173	1.6127967641	-2.0594572058	0.0394504605	0.3302769001
MCCC2	ENSG00000131844	354.1406591083	-2.0278443291	0.9849454237	-2.0588392821	0.0395096372	0.3305749657
SPESP1	ENSG00000258484	39.3961848949	3.1004199212	1.5068361821	2.057569335	0.0396314928	0.3313967942
AP1S1	ENSG00000106367	86.3785089815	-1.9642946937	0.9549644203	-2.056929716	0.0396929871	0.3315156389
RNU6-538P	ENSG00000275029	1.6694803193	2.0445549964	0.9938668371	2.0571719672	0.039669687	0.3315156389
GID4	ENSG00000141034	73.4933716675	2.2472460282	1.092869723	2.0562798849	0.039755546	0.3318404893
PCLAF	ENSG00000166803	140.9137909773	-1.5458315604	0.751863091	-2.0560013904	0.0397823822	0.3318669515
PAPOLA	ENSG00000090060	2047.4044691286	-1.4754586314	0.7178049599	-2.0555146786	0.0398293194	0.3320001217
NDRG2	ENSG00000165795	71.4744659688	-2.2641994524	1.1017467468	-2.0550997395	0.0398693721	0.3320001217
RP11-33I11.2	ENSG00000254432	2.6664299204	-3.6526589028	1.7773015005	-2.0551712254	0.0398624693	0.3320001217
ZNF33B	ENSG00000196693	25.1614954168	-2.6361838066	1.2830546276	-2.0546154076	0.0399161663	0.3321925222
NRGN	ENSG00000154146	14.4134292606	-2.7697897933	1.3485240117	-2.0539417683	0.0399813281	0.3325374636
GPC3	ENSG00000147257	14.7866023722	-3.4852656014	1.6975397684	-2.0531275121	0.0400602123	0.3327707605
CACHD1	ENSG00000158966	394.7429976581	1.9536528314	0.9517189309	2.0527623943	0.0400956274	0.3327707605
GREM2	ENSG00000180875	2.4362895459	-3.7641437109	1.833281196	-2.0532276877	0.0400505003	0.3327707605
P3H2-AS1	ENSG00000225764	2.1919698413	-2.45244914	1.1947587849	-2.0526730342	0.040104299	0.3327707605
CERS4	ENSG00000090661	222.513242096	2.112236273	1.0298712054	2.0509712885	0.0402697429	0.3339459517
TMEM223	ENSG00000168569	169.9575252065	-2.1387069182	1.0431016699	-2.0503340948	0.0403318397	0.3342632314
ACTA2-AS1	ENSG00000180139	8.4401942248	4.0658536877	1.9837780917	2.0495506553	0.0404082999	0.3343658296
ACTRT3	ENSG00000184378	5.0438691591	3.977080234	1.9404833643	2.0495307031	0.0404102487	0.3343658296
LAMTOR4	ENSG00000188186	618.4967086617	-1.1893922953	0.580340165	-2.0494743721	0.0404157513	0.3343658296
NUDT12	ENSG00000112874	9.3975585236	-3.8065449176	1.8579070384	-2.0488349734	0.0404782546	0.3346854746
MCAM	ENSG00000076706	191.4593982927	2.7726638069	1.3541656853	2.0475070643	0.040608324	0.3347910322
PDGFC	ENSG00000145431	3.6755012599	4.1105719743	2.006732903	2.048390181	0.0405217829	0.3347910322
MAP2K1	ENSG00000169032	209.5353512462	-1.8633897955	0.9100867238	-2.0474859667	0.0406103933	0.3347910322
CD47	ENSG00000196776	346.9591552798	-2.2425228585	1.0948946328	-2.0481631668	0.0405440142	0.3347910322
CTD-2126E3.3	ENSG00000269086	15.0362462622	2.213428099	1.0807984737	2.0479563515	0.0405642765	0.3347910322
WWC3	ENSG00000047644	56.3400793111	-2.6232443897	1.281761046	-2.0465939404	0.0406979703	0.3353158859
MID1	ENSG00000101871	86.6167309413	-2.2138835481	1.0823562741	-2.0454295883	0.0408125244	0.3353669471
KIAA1257	ENSG00000114656	27.3970822208	1.8601149689	0.9092585632	2.0457491897	0.0407810534	0.3353669471
MRPS9	ENSG00000135972	849.3577184189	-1.5495153048	0.7576030762	-2.0452864481	0.040826626	0.3353669471
SFMBT2	ENSG00000198879	28.7875630914	-2.8510618132	1.3941124834	-2.0450730104	0.0408476607	0.3353669471
AARD	ENSG00000205002	2.0564128213	4.1316490227	2.0194229677	2.04595525	0.0407607737	0.3353669471
RNF212B	ENSG00000215277	2.0158576165	4.0250409554	1.9671868148	2.0460898402	0.0407475324	0.3353669471
MKNK2	ENSG00000099875	292.2030502195	1.6807925816	0.8220637861	2.0446011734	0.0408941937	0.3355525329
SLC26A4	ENSG00000091137	2.7084760587	2.0811443053	1.0185666025	2.0432088585	0.0410317672	0.3362878267
PTRF	ENSG00000177469	254.7065325142	2.3272438455	1.1388861479	2.0434385385	0.0410090457	0.3362878267
MAP7D1	ENSG00000116871	184.5512786515	2.5217047683	1.2343403169	2.0429574679	0.0410566486	0.3362947094
NECTIN3	ENSG00000177707	3.5854992327	-3.328689288	1.6298502608	-2.042328285	0.0411189782	0.3362947094
NPIPP1	ENSG00000188599	15.3449768009	-2.4430457546	1.1962191603	-2.0423061557	0.0411211719	0.3362947094
SOWAHA	ENSG00000198944	38.9198653325	-3.3443638891	1.637796344	-2.041990081	0.0411525153	0.3362947094
AC003991.3	ENSG00000228113	8.462440252	1.9851403363	0.9721554329	2.0419989121	0.0411516392	0.3362947094
SAR1A	ENSG00000079332	1862.520225553	1.3727787761	0.6724337848	2.0415077398	0.0412003854	0.33648981
IDS	ENSG00000010404	11.6972312931	1.7906864341	0.8772949558	2.0411452525	0.0412363915	0.3365878456
SLC20A1	ENSG00000144136	374.9117363054	-1.8625961096	0.9127748434	-2.0405865949	0.0412919357	0.3368451511
NAGLU	ENSG00000108784	35.0514703914	-2.9959346224	1.4691476061	-2.0392332329	0.0414267556	0.3368758236
KCNH5	ENSG00000140015	21.3700755741	3.2618362188	1.5998322102	2.0388614493	0.0414638573	0.3368758236
UBE2Q2	ENSG00000140367	386.1415349647	-2.1798036728	1.0683919435	-2.0402659212	0.0413238471	0.3368758236
